from_rushid,to_rushid,label
1866,2062,Sibling of
3092,8657,Sibling of
1689,1691,Sibling of
1689,1690,Sibling of
1690,1691,Sibling of
1691,1689,Sibling of
1695,6824,Sibling of
2619,9031,Sibling of
1729,6836,Sibling of
6630,1333,Sibling of
6602,1544,Sibling of
4146,4147,Sibling of
4147,4146,Sibling of
4156,4155,Sibling of
6824,1695,Sibling of
6826,4212,Sibling of
6832,6835,Sibling of
6845,1736,Sibling of
1096,1095,Sibling of
7398,7400,Sibling of
7400,7398,Sibling of
2703,4137,Sibling of
1743,6850,Sibling of
1743,1744,Sibling of
1744,6850,Sibling of
1745,6850,Sibling of
1745,1744,Sibling of
1748,1749,Sibling of
1749,1748,Sibling of
1902,1768,Sibling of
1902,1762,Sibling of
2214,2215,Sibling of
2215,2214,Sibling of
2220,2338,Sibling of
2224,2225,Sibling of
9131,9130,Sibling of
3986,3903,Sibling of
1588,1586,Sibling of
1596,3957,Sibling of
2225,2224,Sibling of
2228,2155,Sibling of
2889,7823,Sibling of
4197,4198,Sibling of
4198,4197,Sibling of
4225,4226,Sibling of
4260,4261,Sibling of
4261,4260,Sibling of
6849,9012,Sibling of
6850,1744,Sibling of
6850,1743,Sibling of
6856,742,Sibling of
6872,6873,Sibling of
7377,7376,Sibling of
7379,1765,Sibling of
7379,1764,Sibling of
7611,8154,Sibling of
7611,7912,Sibling of
7708,7993,Sibling of
8657,3092,Sibling of
8783,8743,Sibling of
9008,6973,Sibling of
9026,6993,Sibling of
9404,9111,Sibling of
1052,1054,Sibling of
1054,1052,Sibling of
8421,7733,Sibling of
7733,8421,Sibling of
7350,7349,Sibling of
7349,7350,Sibling of
1043,1045,Sibling of
7345,1041,Sibling of
2508,2510,Sibling of
2510,2508,Sibling of
2541,2880,Sibling of
2880,2541,Sibling of
4810,2507,Sibling of
4824,4825,Sibling of
4825,4824,Sibling of
4851,4853,Sibling of
1019,2608,Sibling of
1038,1039,Sibling of
7983,7609,Sibling of
8562,8680,Sibling of
8680,8562,Sibling of
8796,8888,Sibling of
9034,9035,Sibling of
9034,9106,Sibling of
9035,9034,Sibling of
9035,9106,Sibling of
9106,9035,Sibling of
9106,9034,Sibling of
9408,9107,Sibling of
2632,1991,Sibling of
2634,7054,Sibling of
2645,7057,Sibling of
5020,5021,Sibling of
5021,5020,Sibling of
5057,1943,Sibling of
5108,5109,Sibling of
5109,5108,Sibling of
5120,5121,Sibling of
5121,5120,Sibling of
4155,4156,Sibling of
6836,1729,Sibling of
2855,7311,Sibling of
6820,6819,Sibling of
5227,2410,Sibling of
8864,7610,Sibling of
2912,2699,Sibling of
2699,2912,Sibling of
7610,8864,Sibling of
21,22,Sibling of
5244,5245,Sibling of
5244,5247,Sibling of
5244,5242,Sibling of
5245,5247,Sibling of
5245,5244,Sibling of
5245,5242,Sibling of
7077,7079,Sibling of
7079,7077,Sibling of
7076,7075,Sibling of
7075,7076,Sibling of
6639,9003,Sibling of
1745,1743,Sibling of
1765,1768,Sibling of
2338,2220,Sibling of
7191,1445,Sibling of
1445,7191,Sibling of
8046,8204,Sibling of
8204,8046,Sibling of
7070,2667,Sibling of
1547,1787,Sibling of
2175,2146,Sibling of
2146,2175,Sibling of
5535,5541,Sibling of
5541,5535,Sibling of
5566,5563,Sibling of
1287,1286,Sibling of
1301,1302,Sibling of
1330,6630,Sibling of
7384,1942,Sibling of
6303,1135,Sibling of
6334,6340,Sibling of
6340,6334,Sibling of
1179,1181,Sibling of
1181,1179,Sibling of
1988,2186,Sibling of
3054,3058,Sibling of
3068,3067,Sibling of
6851,9013,Sibling of
6873,6872,Sibling of
5563,5566,Sibling of
3067,3068,Sibling of
6512,6513,Sibling of
6513,6511,Sibling of
6518,6519,Sibling of
6519,6518,Sibling of
6547,1185,Sibling of
1196,1195,Sibling of
7766,8019,Sibling of
8019,7766,Sibling of
3415,3416,Sibling of
3416,3415,Sibling of
6275,6609,Sibling of
6435,6604,Sibling of
6604,6435,Sibling of
1286,1288,Sibling of
1109,1111,Sibling of
1111,1109,Sibling of
1120,6296,Sibling of
1123,1125,Sibling of
1125,1123,Sibling of
1135,6303,Sibling of
1972,1111,Sibling of
1972,1109,Sibling of
3051,3050,Sibling of
6293,1119,Sibling of
7451,2902,Sibling of
8151,7801,Sibling of
8882,8546,Sibling of
1330,1333,Sibling of
1333,1330,Sibling of
1333,6630,Sibling of
1345,1346,Sibling of
1346,1345,Sibling of
1353,2102,Sibling of
1357,2847,Sibling of
1875,1801,Sibling of
2012,2913,Sibling of
2109,2183,Sibling of
9327,9328,Sibling of
7161,764,Sibling of
7162,6465,Sibling of
2200,7764,Sibling of
3469,4556,Sibling of
3494,3495,Sibling of
4556,3469,Sibling of
6630,1330,Sibling of
6638,6637,Sibling of
7488,7619,Sibling of
7764,2200,Sibling of
6751,6443,Sibling of
1600,1599,Sibling of
1620,1621,Sibling of
1621,1620,Sibling of
7420,7711,Sibling of
7711,7420,Sibling of
8984,6542,Sibling of
2608,1019,Sibling of
6542,8984,Sibling of
978,7548,Sibling of
5651,5652,Sibling of
5652,5651,Sibling of
6897,6898,Sibling of
6915,6914,Sibling of
6914,5118,Sibling of
6914,6915,Sibling of
6915,2311,Sibling of
2311,6915,Sibling of
2311,5118,Sibling of
5118,2311,Sibling of
5118,6915,Sibling of
4438,6846,Sibling of
6846,4438,Sibling of
1835,1790,Sibling of
1790,1835,Sibling of
742,6856,Sibling of
3686,6078,Sibling of
6321,6322,Sibling of
6322,6321,Sibling of
2608,1020,Sibling of
1098,7027,Sibling of
7027,1098,Sibling of
6318,6316,Sibling of
6316,6318,Sibling of
1095,1096,Sibling of
6312,6313,Sibling of
9117,2464,Sibling of
1091,1090,Sibling of
1090,1091,Sibling of
8831,4495,Sibling of
6262,6263,Sibling of
6263,6262,Sibling of
2371,4533,Sibling of
2403,2404,Sibling of
1111,1972,Sibling of
6296,1120,Sibling of
7010,768,Sibling of
5052,2885,Sibling of
9037,3992,Sibling of
9038,3992,Sibling of
8169,8440,Sibling of
4513,6676,Sibling of
6676,4513,Sibling of
2264,4512,Sibling of
2265,4512,Sibling of
4512,2265,Sibling of
4512,2264,Sibling of
2567,2568,Sibling of
6254,7229,Sibling of
7229,6254,Sibling of
7373,7371,Sibling of
5605,5603,Sibling of
5605,5604,Sibling of
5603,5605,Sibling of
5603,5604,Sibling of
5604,5605,Sibling of
7365,7368,Sibling of
1704,4695,Sibling of
2429,2431,Sibling of
2431,2429,Sibling of
2438,2439,Sibling of
2439,2438,Sibling of
2462,4708,Sibling of
2473,2474,Sibling of
2473,4447,Sibling of
2488,2490,Sibling of
2490,2488,Sibling of
2497,2498,Sibling of
2498,2497,Sibling of
785,3706,Sibling of
4654,4656,Sibling of
4656,4654,Sibling of
4695,1704,Sibling of
4696,4700,Sibling of
4696,4699,Sibling of
4699,4700,Sibling of
4700,4699,Sibling of
4700,4696,Sibling of
4708,2462,Sibling of
8743,8783,Sibling of
7177,7180,Sibling of
9038,1018,Sibling of
6231,6230,Sibling of
1075,1074,Sibling of
7627,9397,Sibling of
6220,6221,Sibling of
6221,6220,Sibling of
9130,9137,Sibling of
9130,9131,Sibling of
9137,9131,Sibling of
9137,9130,Sibling of
1773,2811,Sibling of
3903,3986,Sibling of
3904,3987,Sibling of
1031,7343,Sibling of
3986,3985,Sibling of
3987,3904,Sibling of
3985,3903,Sibling of
3874,8300,Sibling of
9037,1018,Sibling of
1586,1588,Sibling of
4226,4225,Sibling of
1041,7345,Sibling of
1019,1020,Sibling of
1020,1019,Sibling of
6820,1687,Sibling of
1703,4695,Sibling of
6170,6169,Sibling of
6169,6170,Sibling of
9054,9062,Sibling of
9062,9054,Sibling of
4695,1703,Sibling of
2491,1321,Sibling of
1014,2061,Sibling of
9011,2568,Sibling of
4212,1699,Sibling of
4212,6826,Sibling of
1590,1868,Sibling of
4716,3527,Sibling of
4716,3529,Sibling of
3527,4716,Sibling of
3529,4716,Sibling of
4717,3530,Sibling of
3528,4717,Sibling of
384,8432,Sibling of
8432,384,Sibling of
988,9051,Sibling of
9051,988,Sibling of
5476,4763,Sibling of
8560,3861,Sibling of
3861,8560,Sibling of
5233,6845,Sibling of
1736,6845,Sibling of
1736,5233,Sibling of
9003,6639,Sibling of
4137,2703,Sibling of
7305,7216,Sibling of
7216,7305,Sibling of
6712,1480,Sibling of
1974,8337,Sibling of
8337,1974,Sibling of
3274,3273,Sibling of
3273,3274,Sibling of
3364,3365,Sibling of
3365,3364,Sibling of
5678,5677,Sibling of
5677,5678,Sibling of
1548,5228,Sibling of
1752,7662,Sibling of
1762,1764,Sibling of
1764,7379,Sibling of
1764,1902,Sibling of
1764,1762,Sibling of
1765,1902,Sibling of
1765,1762,Sibling of
1765,1764,Sibling of
6018,6019,Sibling of
6019,6018,Sibling of
1254,6033,Sibling of
6033,1254,Sibling of
6034,4040,Sibling of
928,4475,Sibling of
928,7264,Sibling of
7264,4475,Sibling of
7264,928,Sibling of
4475,7264,Sibling of
4475,928,Sibling of
794,798,Sibling of
798,794,Sibling of
5955,5699,Sibling of
5955,8992,Sibling of
8992,5955,Sibling of
5699,5955,Sibling of
5699,8992,Sibling of
8992,5699,Sibling of
1768,1765,Sibling of
1768,1764,Sibling of
1768,1902,Sibling of
1902,1764,Sibling of
1902,1765,Sibling of
7688,2136,Sibling of
5962,5963,Sibling of
5963,5962,Sibling of
2507,4810,Sibling of
5233,1736,Sibling of
7808,7912,Sibling of
7808,8154,Sibling of
7823,2889,Sibling of
7912,7611,Sibling of
7912,7808,Sibling of
7912,8154,Sibling of
7932,2889,Sibling of
7932,7823,Sibling of
7993,7708,Sibling of
8154,7808,Sibling of
8154,7912,Sibling of
8154,7611,Sibling of
8300,3874,Sibling of
6804,6806,Sibling of
786,3095,Sibling of
3095,786,Sibling of
3150,3494,Sibling of
3495,3494,Sibling of
3494,3150,Sibling of
2235,1345,Sibling of
1226,2321,Sibling of
1859,7385,Sibling of
2267,2803,Sibling of
2278,4368,Sibling of
2300,2301,Sibling of
2301,2300,Sibling of
2311,6914,Sibling of
2312,2313,Sibling of
2321,1226,Sibling of
2803,2267,Sibling of
4368,2278,Sibling of
4464,4465,Sibling of
4465,4464,Sibling of
6891,6890,Sibling of
6896,6897,Sibling of
6897,6896,Sibling of
6914,2311,Sibling of
6915,5118,Sibling of
6916,3021,Sibling of
7006,6916,Sibling of
2373,6944,Sibling of
2376,6948,Sibling of
2382,6953,Sibling of
2404,2403,Sibling of
6944,2373,Sibling of
6948,2376,Sibling of
6953,2382,Sibling of
6225,6224,Sibling of
1703,1704,Sibling of
1704,1703,Sibling of
1772,2429,Sibling of
1772,2431,Sibling of
6465,7162,Sibling of
764,7161,Sibling of
768,7010,Sibling of
5604,5603,Sibling of
3706,785,Sibling of
792,1103,Sibling of
8538,7180,Sibling of
8538,7177,Sibling of
7180,7177,Sibling of
7180,8538,Sibling of
795,805,Sibling of
1795,7981,Sibling of
818,7504,Sibling of
7504,818,Sibling of
2186,1988,Sibling of
6890,6891,Sibling of
6556,6555,Sibling of
6555,6556,Sibling of
1932,2454,Sibling of
3313,1545,Sibling of
8073,2866,Sibling of
2754,2753,Sibling of
2080,2057,Sibling of
7882,7518,Sibling of
1877,7935,Sibling of
7862,8786,Sibling of
8786,7862,Sibling of
5720,5719,Sibling of
5719,5720,Sibling of
5724,4585,Sibling of
4585,5724,Sibling of
857,858,Sibling of
858,857,Sibling of
3774,3773,Sibling of
6819,1687,Sibling of
4735,4736,Sibling of
4736,4735,Sibling of
4763,5476,Sibling of
1687,6819,Sibling of
2118,1688,Sibling of
870,874,Sibling of
874,870,Sibling of
870,873,Sibling of
873,870,Sibling of
873,874,Sibling of
880,7223,Sibling of
7223,880,Sibling of
6163,3771,Sibling of
3771,6163,Sibling of
2753,2754,Sibling of
5303,5304,Sibling of
7091,7094,Sibling of
7091,7095,Sibling of
7091,7096,Sibling of
7094,7091,Sibling of
7094,7095,Sibling of
7094,7096,Sibling of
7095,7091,Sibling of
7095,7096,Sibling of
7095,7094,Sibling of
7096,7091,Sibling of
7096,7094,Sibling of
7096,7095,Sibling of
7885,2181,Sibling of
7959,8493,Sibling of
8199,2181,Sibling of
8199,1873,Sibling of
8493,7959,Sibling of
9085,1347,Sibling of
1073,6660,Sibling of
4786,4787,Sibling of
4787,4786,Sibling of
6973,9008,Sibling of
4693,2570,Sibling of
9028,894,Sibling of
5308,5309,Sibling of
9494,5301,Sibling of
5301,9494,Sibling of
6789,6791,Sibling of
8997,6667,Sibling of
2917,7503,Sibling of
7818,7629,Sibling of
6618,1311,Sibling of
6695,1442,Sibling of
1494,1821,Sibling of
1526,6745,Sibling of
3786,3785,Sibling of
8757,8575,Sibling of
1210,1589,Sibling of
1543,1545,Sibling of
1787,1547,Sibling of
3898,3897,Sibling of
6443,6751,Sibling of
3566,3565,Sibling of
1302,1301,Sibling of
1185,6547,Sibling of
6514,6511,Sibling of
1195,1196,Sibling of
6562,6560,Sibling of
2902,7451,Sibling of
6609,6275,Sibling of
1119,6293,Sibling of
1347,6637,Sibling of
2847,1357,Sibling of
1599,1600,Sibling of
4005,4007,Sibling of
1690,1689,Sibling of
9031,2619,Sibling of
2464,9117,Sibling of
6835,6832,Sibling of
1744,1743,Sibling of
1768,1762,Sibling of
2155,2228,Sibling of
2889,7932,Sibling of
7611,7808,Sibling of
7662,1752,Sibling of
7823,7932,Sibling of
9012,6849,Sibling of
9013,6851,Sibling of
3150,3495,Sibling of
3495,3150,Sibling of
2893,6219,Sibling of
6219,2893,Sibling of
1942,7384,Sibling of
2151,2245,Sibling of
2151,2164,Sibling of
2164,2245,Sibling of
2164,2151,Sibling of
2240,6881,Sibling of
2245,2164,Sibling of
2245,2151,Sibling of
2256,2257,Sibling of
2257,2256,Sibling of
4089,2240,Sibling of
2264,2265,Sibling of
2265,2264,Sibling of
4275,4278,Sibling of
4278,4275,Sibling of
6881,2240,Sibling of
6883,6454,Sibling of
8359,8398,Sibling of
8398,8359,Sibling of
6454,6883,Sibling of
6256,7115,Sibling of
7115,6256,Sibling of
1295,4811,Sibling of
3170,3173,Sibling of
4089,6881,Sibling of
4983,3391,Sibling of
3391,4983,Sibling of
6913,3043,Sibling of
3043,6913,Sibling of
6445,6763,Sibling of
6763,6445,Sibling of
3058,3054,Sibling of
832,793,Sibling of
793,832,Sibling of
2235,1346,Sibling of
2313,2312,Sibling of
7385,1859,Sibling of
7548,978,Sibling of
6078,3686,Sibling of
1103,792,Sibling of
4495,8831,Sibling of
2885,5052,Sibling of
7371,7373,Sibling of
4447,2473,Sibling of
4699,4696,Sibling of
1079,1078,Sibling of
6230,6231,Sibling of
9397,7627,Sibling of
1045,1043,Sibling of
4853,4851,Sibling of
4855,4856,Sibling of
4856,4855,Sibling of
4896,4897,Sibling of
4904,4905,Sibling of
4905,4904,Sibling of
1039,1038,Sibling of
894,9028,Sibling of
4913,4914,Sibling of
4914,4913,Sibling of
4942,4943,Sibling of
4943,4942,Sibling of
4955,4957,Sibling of
4957,4955,Sibling of
6429,7014,Sibling of
7008,7009,Sibling of
7009,7008,Sibling of
7014,6429,Sibling of
7021,7026,Sibling of
7026,7020,Sibling of
7026,7021,Sibling of
7609,7983,Sibling of
8888,8796,Sibling of
7342,7341,Sibling of
1943,5057,Sibling of
1991,2632,Sibling of
5188,5189,Sibling of
5189,5188,Sibling of
6460,7058,Sibling of
7031,7032,Sibling of
7032,7031,Sibling of
7033,2602,Sibling of
7035,7036,Sibling of
7036,7035,Sibling of
7043,7044,Sibling of
7044,7043,Sibling of
7054,2634,Sibling of
7057,2645,Sibling of
7058,6460,Sibling of
7590,7757,Sibling of
7590,7795,Sibling of
7593,8011,Sibling of
7757,7590,Sibling of
7757,7795,Sibling of
7795,7757,Sibling of
7795,7590,Sibling of
8011,7593,Sibling of
8060,8339,Sibling of
8382,8429,Sibling of
8423,8803,Sibling of
8429,8382,Sibling of
8803,8423,Sibling of
9037,9038,Sibling of
9038,9037,Sibling of
9041,9040,Sibling of
3021,6916,Sibling of
2858,8066,Sibling of
8066,2858,Sibling of
5117,7917,Sibling of
7917,5117,Sibling of
7808,7611,Sibling of
960,7291,Sibling of
7291,960,Sibling of
2905,6067,Sibling of
6067,2905,Sibling of
2136,7688,Sibling of
7278,5692,Sibling of
5692,7278,Sibling of
9017,9020,Sibling of
9020,9017,Sibling of
3983,6876,Sibling of
6876,3983,Sibling of
7088,7087,Sibling of
7087,7088,Sibling of
2697,7083,Sibling of
7083,2697,Sibling of
1294,6608,Sibling of
2687,7566,Sibling of
7566,2687,Sibling of
5247,5244,Sibling of
5247,5245,Sibling of
5247,5242,Sibling of
7559,9434,Sibling of
9434,7559,Sibling of
2684,2683,Sibling of
2683,2684,Sibling of
5242,5245,Sibling of
5242,5247,Sibling of
5242,5244,Sibling of
9111,9404,Sibling of
736,7621,Sibling of
7621,736,Sibling of
805,795,Sibling of
2259,8996,Sibling of
1078,1079,Sibling of
7630,2566,Sibling of
7651,2541,Sibling of
7651,2880,Sibling of
6819,6820,Sibling of
874,873,Sibling of
5309,5308,Sibling of
6791,6789,Sibling of
2570,4693,Sibling of
7341,7344,Sibling of
7341,7342,Sibling of
7342,7344,Sibling of
2997,6695,Sibling of
1321,2491,Sibling of
2061,1014,Sibling of
4898,1599,Sibling of
4898,1600,Sibling of
1012,1011,Sibling of
1011,1012,Sibling of
3057,3060,Sibling of
3057,3055,Sibling of
3055,3057,Sibling of
3055,3060,Sibling of
2568,9011,Sibling of
9119,3699,Sibling of
6106,6107,Sibling of
6107,6106,Sibling of
5747,5746,Sibling of
5746,5747,Sibling of
7306,7309,Sibling of
7309,7306,Sibling of
7306,9050,Sibling of
7309,9050,Sibling of
2122,7642,Sibling of
7642,2122,Sibling of
7314,7313,Sibling of
2854,2853,Sibling of
7313,7314,Sibling of
2853,2854,Sibling of
7311,2855,Sibling of
1026,7631,Sibling of
7631,1026,Sibling of
4792,3872,Sibling of
3872,4792,Sibling of
971,947,Sibling of
947,971,Sibling of
2410,5227,Sibling of
5228,1548,Sibling of
9040,9041,Sibling of
7614,7613,Sibling of
7613,7614,Sibling of
6444,6752,Sibling of
7184,9115,Sibling of
9115,7184,Sibling of
3180,6440,Sibling of
6440,3180,Sibling of
9024,4685,Sibling of
1440,6693,Sibling of
1545,3313,Sibling of
3313,1543,Sibling of
8996,2259,Sibling of
2568,2567,Sibling of
3530,4717,Sibling of
2866,8073,Sibling of
7196,7197,Sibling of
7197,7196,Sibling of
4761,7120,Sibling of
4761,7121,Sibling of
7121,4761,Sibling of
7121,7120,Sibling of
2057,2080,Sibling of
6826,1699,Sibling of
4533,2371,Sibling of
9696,4823,Sibling of
4823,9696,Sibling of
683,10140,Sibling of
10130,10048,Sibling of
10048,10130,Sibling of
10140,683,Sibling of
10696,10275,Sibling of
10275,10696,Sibling of
2514,2513,Child of
7747,2135,Child of
223,2930,Child of
8996,8995,Child of
6359,1073,Child of
4702,4701,Child of
223,222,Child of
1403,2840,Child of
1650,6808,Child of
1425,1424,Child of
1873,9003,Child of
2041,1427,Child of
2831,6677,Child of
2835,9002,Child of
2838,2839,Child of
3650,3649,Child of
6687,6686,Child of
7494,1409,Child of
7497,7679,Child of
8345,1408,Child of
8841,1856,Child of
8852,8206,Child of
9311,8852,Child of
8151,6618,Child of
1480,6711,Child of
7897,1439,Child of
8304,2018,Child of
8932,8304,Child of
9090,1457,Child of
8174,8363,Child of
8979,8174,Child of
1495,6723,Child of
1506,1507,Child of
1507,5355,Child of
1518,6735,Child of
1522,6439,Child of
3786,3787,Child of
7441,1222,Child of
1530,7359,Child of
1547,6602,Child of
1787,6602,Child of
1227,6434,Child of
1974,6712,Child of
2081,1196,Child of
3128,3129,Child of
3212,3210,Child of
6552,6551,Child of
9092,3416,Child of
8075,1785,Child of
1680,1679,Child of
1866,7406,Child of
1868,1589,Child of
2062,7406,Child of
2089,6780,Child of
2118,1687,Child of
3929,2392,Child of
1461,1460,Child of
1468,3680,Child of
2042,1442,Child of
3662,3663,Child of
3714,3712,Child of
6693,1440,Child of
6706,6707,Child of
3904,3903,Child of
1395,8997,Child of
3957,1595,Child of
4005,4006,Child of
3992,5265,Child of
1020,9038,Child of
4039,6034,Child of
4096,4095,Child of
6768,6769,Child of
6786,6785,Child of
6796,6797,Child of
1821,6482,Child of
2167,6722,Child of
3466,1520,Child of
3785,3787,Child of
3822,3820,Child of
3236,3235,Child of
3766,3765,Child of
7650,1654,Child of
8251,7649,Child of
1019,9038,Child of
1742,9012,Child of
1018,5265,Child of
9037,5265,Child of
2608,9038,Child of
4010,5778,Child of
8575,2206,Child of
6740,6739,Child of
6741,6744,Child of
6745,6440,Child of
7682,1489,Child of
7996,7680,Child of
562,9259,Child of
1534,9006,Child of
1550,1549,Child of
1551,6443,Child of
1553,1552,Child of
1562,9007,Child of
3842,3843,Child of
3872,4793,Child of
3897,3899,Child of
1378,1379,Child of
1379,6656,Child of
1384,6661,Child of
1385,6662,Child of
1387,1150,Child of
1397,1398,Child of
1400,6668,Child of
2810,6670,Child of
2814,6671,Child of
2899,6662,Child of
2923,3557,Child of
8774,8641,Child of
3534,3535,Child of
6655,6653,Child of
1265,1263,Child of
2903,1254,Child of
3226,3225,Child of
3294,3247,Child of
7440,2077,Child of
7595,1930,Child of
2192,803,Child of
2987,2988,Child of
3025,3026,Child of
1099,6320,Child of
8991,8990,Child of
3092,1830,Child of
3093,3092,Child of
8657,1830,Child of
1689,6821,Child of
1690,6821,Child of
1691,6821,Child of
1692,6822,Child of
1135,6302,Child of
2619,9030,Child of
1723,1724,Child of
1736,1737,Child of
1770,1701,Child of
1778,7663,Child of
1875,1345,Child of
1437,1436,Child of
2704,1883,Child of
2044,6842,Child of
2198,6828,Child of
2703,4140,Child of
4137,4140,Child of
4163,4166,Child of
1707,1706,Child of
6834,6833,Child of
6845,1737,Child of
6383,1135,Child of
7604,1736,Child of
7663,1730,Child of
7856,6843,Child of
5233,1737,Child of
1744,9013,Child of
1748,6852,Child of
1749,6852,Child of
1595,6778,Child of
1596,1595,Child of
2224,6451,Child of
2225,6451,Child of
4253,6654,Child of
7376,2338,Child of
7662,6856,Child of
8069,1964,Child of
8836,7412,Child of
8285,9403,Child of
6430,6473,Child of
1845,6430,Child of
1057,7355,Child of
8421,1056,Child of
5296,1053,Child of
7733,1056,Child of
6283,8387,Child of
1044,1043,Child of
1793,2508,Child of
2549,7004,Child of
2566,2568,Child of
2570,9033,Child of
2578,7018,Child of
2880,2540,Child of
4808,2507,Child of
4809,4810,Child of
4851,4852,Child of
4853,4852,Child of
1743,9013,Child of
318,8968,Child of
1038,1037,Child of
8130,7416,Child of
8131,2549,Child of
8598,2165,Child of
7529,1036,Child of
8752,7609,Child of
8821,8139,Child of
9028,9027,Child of
9389,8789,Child of
2607,2606,Child of
2622,2623,Child of
2626,9110,Child of
2632,2633,Child of
2636,7056,Child of
2647,6460,Child of
2659,9111,Child of
2661,9042,Child of
2671,2672,Child of
5054,5053,Child of
5057,7273,Child of
5079,5080,Child of
5106,9419,Child of
2857,1030,Child of
1962,1708,Child of
5124,5123,Child of
150,8592,Child of
9433,5288,Child of
8864,2699,Child of
7610,2699,Child of
8027,2698,Child of
7083,7084,Child of
5245,5248,Child of
2677,7078,Child of
6337,729,Child of
737,7154,Child of
8498,740,Child of
5524,6021,Child of
5526,5525,Child of
2175,743,Child of
2146,743,Child of
6498,2175,Child of
5542,1461,Child of
5547,5548,Child of
750,9043,Child of
7953,2027,Child of
5555,5556,Child of
5561,5569,Child of
2942,8182,Child of
1275,8988,Child of
1289,6435,Child of
1297,8989,Child of
1301,6614,Child of
1302,6614,Child of
1303,1304,Child of
1306,6615,Child of
1310,6437,Child of
1311,6437,Child of
1951,1273,Child of
2073,1309,Child of
3016,3017,Child of
1241,6632,Child of
24,23,Child of
6303,6302,Child of
6328,6286,Child of
6353,1989,Child of
6368,6369,Child of
6395,6362,Child of
793,6533,Child of
832,6533,Child of
1144,1145,Child of
1148,6509,Child of
1150,6664,Child of
1155,6431,Child of
1166,6537,Child of
1179,1182,Child of
1181,1182,Child of
1185,6546,Child of
3057,3059,Child of
3057,3058,Child of
3060,3059,Child of
3082,3083,Child of
6850,6851,Child of
3086,3087,Child of
6509,6508,Child of
6517,6431,Child of
6525,6524,Child of
6537,6535,Child of
7452,1824,Child of
7455,2110,Child of
7661,1173,Child of
119,8361,Child of
1195,6549,Child of
1199,1198,Child of
6568,6567,Child of
7606,1196,Child of
8337,6712,Child of
1246,6583,Child of
1250,6585,Child of
6437,6617,Child of
25,6284,Child of
23,21,Child of
1688,1687,Child of
5934,1838,Child of
762,761,Child of
7161,6465,Child of
22,25,Child of
95,6399,Child of
1109,1110,Child of
1111,1110,Child of
1972,1110,Child of
2005,1121,Child of
729,5587,Child of
3022,3021,Child of
3029,3030,Child of
1368,1369,Child of
1031,7341,Child of
6618,6437,Child of
7597,1272,Child of
7801,6618,Child of
8008,6594,Child of
8956,1784,Child of
1332,6619,Child of
1345,9085,Child of
1349,1348,Child of
1359,6644,Child of
1364,7019,Child of
1801,1345,Child of
2109,6990,Child of
7162,6464,Child of
2181,6639,Child of
2200,2102,Child of
2771,8994,Child of
2900,6645,Child of
3447,3446,Child of
3476,3477,Child of
3479,3478,Child of
6628,6627,Child of
6634,6635,Child of
7488,1833,Child of
7491,1358,Child of
7619,1833,Child of
7764,2102,Child of
4502,4503,Child of
7427,1794,Child of
7760,1937,Child of
7771,2307,Child of
8239,1924,Child of
8278,1946,Child of
8405,7842,Child of
8464,379,Child of
9018,9103,Child of
9126,9017,Child of
9153,9178,Child of
7373,7368,Child of
6479,764,Child of
2128,767,Child of
1174,8984,Child of
978,979,Child of
7548,979,Child of
7643,978,Child of
5645,5646,Child of
2275,4368,Child of
5485,1859,Child of
8481,7592,Child of
6336,1105,Child of
6376,1789,Child of
1103,6321,Child of
3070,3068,Child of
8802,9438,Child of
9438,8233,Child of
8940,7798,Child of
1098,6318,Child of
7027,6318,Child of
6317,7027,Child of
1097,6316,Child of
1829,1096,Child of
893,9117,Child of
1094,1093,Child of
8831,7859,Child of
4589,4590,Child of
7670,2379,Child of
7577,1807,Child of
8549,1822,Child of
4617,2403,Child of
2264,4513,Child of
2265,4513,Child of
6253,6254,Child of
774,7166,Child of
782,7171,Child of
1990,2608,Child of
1964,2487,Child of
2444,2443,Child of
2445,6979,Child of
2448,2449,Child of
2454,7646,Child of
2463,2462,Child of
2471,9024,Child of
2472,9025,Child of
2484,6987,Child of
2488,6992,Child of
2489,2490,Child of
2490,6992,Child of
2498,6993,Child of
7984,1026,Child of
8874,783,Child of
3950,774,Child of
3705,3706,Child of
3949,3705,Child of
6714,6672,Child of
5636,5637,Child of
7858,7487,Child of
4691,4690,Child of
4717,4716,Child of
4727,4725,Child of
4783,4782,Child of
5606,6745,Child of
1077,1076,Child of
7627,1067,Child of
7784,2115,Child of
1065,7358,Child of
7954,7665,Child of
6219,4310,Child of
1060,6474,Child of
7746,1062,Child of
7477,1571,Child of
9006,9005,Child of
1563,9092,Child of
3987,3903,Child of
1622,1624,Child of
1625,6793,Child of
1628,6794,Child of
1362,2771,Child of
1631,6799,Child of
6766,6767,Child of
476,9210,Child of
484,9254,Child of
5285,5284,Child of
276,8782,Child of
1586,1587,Child of
1588,1587,Child of
1590,1589,Child of
1591,6771,Child of
1598,6448,Child of
1660,1659,Child of
1666,6814,Child of
1647,6449,Child of
7399,1688,Child of
1706,4648,Child of
1718,1719,Child of
5130,5131,Child of
9110,9041,Child of
9381,8569,Child of
6171,6172,Child of
6167,6166,Child of
5219,7453,Child of
9295,9294,Child of
1015,6163,Child of
6694,2997,Child of
1857,1186,Child of
3530,4716,Child of
3528,4716,Child of
1806,7321,Child of
7607,1806,Child of
990,7322,Child of
