from_politician_id,from_name,from_rushid,to_politician_id,to_name,to_rushid,relation,source
Q6231620,John Elliot,6752,Q5538960,George Elliot,,sibling,wikidata
Q6231682,John Ellison-Macartney,1559,Q2578654,William Ellison-Macartney,,child,wikidata
Q13529998,John Elsdale Molson,5080,Q13529997,"Hugh Molson, Baron Molson",,child,wikidata
Q26477030,John Entwisle,3886,Q26701526,William Entwisle,3887,cousin,rush
Q4484367,John Fielden,6778,Q6289810,Joshua Fielden,,child,wikidata
Q4484367,John Fielden,6778,Q7789575,Thomas Fielden,,grandchild,wikidata
Q4484367,John Fielden,6778,Q5342020,Edward Brocklehurst Fielden,,grandchild,wikidata
Q6233280,"John FitzPatrick, 1st Baron Castletown",1611,Q4893127,"Bernard FitzPatrick, 2nd Baron Castletown",,child,wikidata
Q1845004,"John Fletcher Moulton, Baron Moulton",2053,Q5932053,Hugh Moulton,,child,wikidata
Q24568591,John Forbes,,Q5077724,Charles Forbes,,father,wikidata
Q22001642,John Forster,6796,Q26722125,Matthew Forster,,father,wikidata
Q6233710,John Fort,6798,Q7325732,Richard Fort,,child,wikidata
Q6233710,John Fort,6798,Q7325733,Richard Fort,,grandchild,wikidata
Q13529906,"John Gathorne-Hardy, 2nd Earl of Cranbrook",1668,Q5527395,"Gathorne Gathorne-Hardy, 1st Earl of Cranbrook",,father,wikidata
Q13529906,"John Gathorne-Hardy, 2nd Earl of Cranbrook",1668,Q6237751,John Hardy,,grandparent,wikidata
Q13529906,"John Gathorne-Hardy, 2nd Earl of Cranbrook",1668,Q4722710,Alfred Gathorne-Hardy,,sibling,wikidata
Q13529906,"John Gathorne-Hardy, 2nd Earl of Cranbrook",1668,Q7527819,"Sir John Hardy, 1st Baronet",,uncle/aunt,wikidata
Q6235155,John George Phillimore,5390,Q7528832,"Sir Robert Phillimore, 1st Baronet",,sibling,wikidata
Q6235315,John Gilbert Talbot,927,Q4786530,Archibald Stuart-Wortley,6261,cousin,rush
Q6235315,John Gilbert Talbot,927,Q5082737,"Charles Stuart-Wortley, 1st Baron Stuart of Wortley",2123,cousin,rush
Q6250233,John Gladstone,6819,Q2347324,"Herbert Gladstone, 1st Viscount Gladstone",,nephew/niece,wikidata
Q6250233,John Gladstone,6819,Q4020043,William Henry Gladstone,,nephew/niece,wikidata
