ego,ego_name,alter,alter_name,relation,source
Q5344887,"Edward Portman, 1st Viscount Portman",Q5346251,Edwin Berkeley Portman,parent,panel
Q5345107,Edward Romilly,Q5498658,Frederick Romilly,sibling,panel;rush
Q5345107,Edward Romilly,Q6255541,"John Romilly, 1st Baron Romilly",sibling,panel;rush
Q5345155,Edward Ryley Langworthy,Q5079456,Charles James O'Donnell,indirect,rush
Q5345298,Edward Sheil,Q15040004,Stephen Woulfe,grandparent,rush
Q5345298,Edward Sheil,Q7327224,Richard Lalor Sheil,uncle/aunt,rush
Q5345379,Edward Southwell Ruthven,Q25894093,Edward Ruthven,child;parent,panel;rush
Q5345405,Edward Stanhope,Q22039470,James Stanhope,indirect,rush
Q5345405,Edward Stanhope,Q286118,"Philip Stanhope, 5th Earl Stanhope",child;parent,panel;rush
Q5345405,Edward Stanhope,Q4800348,"Arthur Stanhope, 6th Earl Stanhope",sibling,panel;rush
Q5345405,Edward Stanhope,Q6233592,"Philip Stanhope, 1st Baron Weardale",sibling,panel
Q5345405,Edward Stanhope,Q7526578,"Sir Edward Kerrison, 1st Baronet",grandparent,rush
Q5345410,"Edward Stanley, 4th Baron Stanley of Alderley",Q13132369,William Owen Stanley,niece/nephew,panel
Q5345410,"Edward Stanley, 4th Baron Stanley of Alderley",Q17321359,"Edward Stanley, 2nd Baron Stanley of Alderley",child,panel
Q5345410,"Edward Stanley, 4th Baron Stanley of Alderley",Q711588,"Arthur Stanley, 5th Baron Stanley of Alderley",parent,panel
Q5345412,Edward Stanley,Q237829,"Edward Smith-Stanley, 14th Earl of Derby",parent,rush
Q5345413,"Edward Stanley, Lord Stanley",Q222458,"Frederick Stanley, 16th Earl of Derby",grandchild;grandparent,panel;rush
Q5345413,"Edward Stanley, Lord Stanley",Q338427,"Edward Stanley, 17th Earl of Derby",child;parent,panel;rush
Q5345413,"Edward Stanley, Lord Stanley",Q3497552,Oliver Stanley,sibling,panel;rush
Q5345413,"Edward Stanley, Lord Stanley",Q4800349,Arthur Stanley,niece/nephew,panel
Q5345413,"Edward Stanley, Lord Stanley",Q5539480,George Stanley,niece/nephew;uncle/aunt,panel;rush
Q5345413,"Edward Stanley, Lord Stanley",Q7329218,Richard Stanley,child;parent,panel;rush
Q5345457,Edward Stillingfleet Cayley,Q319362,George Cayley,indirect,rush
Q5345487,"Edward Strutt, 1st Baron Belper",Q5728825,"Henry Strutt, 2nd Baron Belper",parent,panel
Q5345573,"Edward Tennant, 1st Baron Glenconner",Q166714,H. H. Asquith,indirect,rush
Q5345573,"Edward Tennant, 1st Baron Glenconner",Q5662543,Harold Tennant,sibling,panel;rush
Q5345573,"Edward Tennant, 1st Baron Glenconner",Q7167656,Percy Wyndham,indirect,rush
Q5345573,"Edward Tennant, 1st Baron Glenconner",Q7526303,"Sir Charles Tennant, 1st Baronet",child;parent,panel;rush
Q5345591,Edward Thomas Foley,Q5723097,Henry Hodgetts-Foley,uncle/aunt,panel
Q5345591,Edward Thomas Foley,Q6239482,John Hodgetts-Foley,sibling,panel;rush
Q5345715,"Sir Edward Verner, 4th Baronet",Q16065605,"Sir William Verner, 1st Baronet",child;parent,panel;rush
Q5345715,"Sir Edward Verner, 4th Baronet",Q7529810,"Sir William Verner, 2nd Baronet",sibling,panel
Q5345728,"Edward Villiers, 5th Earl of Clarendon",Q222458,"Frederick Stanley, 16th Earl of Derby",indirect,rush
Q5345728,"Edward Villiers, 5th Earl of Clarendon",Q338427,"Edward Stanley, 17th Earl of Derby",niece/nephew,rush
Q5345728,"Edward Villiers, 5th Earl of Clarendon",Q5081574,Charles Pelham Villiers,uncle/aunt,rush
Q5345769,Edward Wakefield,Q387525,"Wavell Wakefield, 1st Baron Wakefield of Kendal",sibling,panel;rush
Q5345819,Edward Watkin,Q26292023,"Sir Alfred Watkin, 2nd Baronet",child;parent,panel;rush
Q5345894,Edward William Cox,Q6075018,Irwin Cox,child;parent,panel;rush
Q5346251,Edwin Berkeley Portman,Q12066246,"Henry Portman, 2nd Viscount Portman",sibling,panel
Q5346251,Edwin Berkeley Portman,Q5344887,"Edward Portman, 1st Viscount Portman",child,panel
Q5346368,Edwin Durning-Lawrence,Q15434224,John Benjamin Smith,indirect,rush
Q5346368,Edwin Durning-Lawrence,Q7527452,"Sir James Lawrence, 1st Baronet",sibling,panel;rush
