politician_id,politician_name,rushid,has_relative,n_relatives_detected,multiple_relatives,closeness,relation_types,relative_chamber,peerage_linked_flag,relative_sources,relative_examples
Q7922286,"Vernon Willey, 2nd Baron Barnby",6213,0,0,0,,,,1,,
Q7924986,Vicary Gibbs,1866,1,2,1,parent,parent;child;sibling,HoC,1,panel;rush,"Alban Gibbs, 2nd Baron Aldenham;Hucks Gibbs, 1st Baron Aldenham"
Q7925309,Vickerman Henzell Rutherford,7506,0,0,0,,,,0,,
Q7925789,Victor Cazalet,3469,1,1,0,sibling,sibling,HoC,0,rush,Thelma Cazalet-Keir
Q7925945,Victor Grayson,4158,0,0,0,,,,0,,
Q7925977,Victor Harold Finney,3971,0,0,0,,,,0,,
Q7926168,Victor Montagu,4372,1,2,1,child,child;indirect,HoC,1,panel;rush,"Edward Montagu, 8th Earl of Sandwich;George Montagu, 9th Earl of Sandwich"
Q7926263,Victor Raikes,8602,0,0,0,,,,1,,
Q7926443,"Victor Warrender, 1st Baron Bruntisfield",6141,1,1,0,indirect,indirect,HoC,1,rush,Richard Hamilton Rawson
Q7926466,Victor Yates,6277,0,0,0,,,,0,,
Q7926595,Victoria Borwick,9765,0,0,0,,,,1,,
Q7931872,Vincent Kennedy,7414,0,0,0,,,,0,,
Q7933220,"Violet Bathurst, Lady Apsley",3033,1,1,0,spouse,spouse,HoC,1,rush,"Allen Bathurst, Lord Apsley"
Q7937675,Vivian Bendall,3162,0,0,0,,,,0,,
Q7937719,Vivian Henderson,8297,0,0,0,,,,0,,
Q7937757,Vivian Phillipps,7995,0,0,0,,,,0,,
Q7945435,Walter Smiles,5778,1,1,0,parent,parent;child,HoC,1,panel;rush,Patricia Ford
Q7945588,W. Garfield Weston,8309,0,0,0,,,,1,,
Q7945802,William Llewelyn Williams,7528,0,0,0,,,,0,,
Q7959195,Wadham Wyndham,6314,1,1,0,niece/nephew,niece/nephew,HoC,1,rush,John Campbell
Q7961641,Waldron Smithers,5783,1,1,0,child,child,HoC,0,panel,Alfred Waldron Smithers
Q7961862,Walford Davis Green,1944,0,0,0,,,,0,,
Q7962782,Wallace Duffield Wright,7253,0,0,0,,,,0,,
Q7962840,Wallace Lawler,4660,0,0,0,,,,0,,
Q7964195,Walter Attenborough,3064,0,0,0,,,,0,,
Q7964200,Walter Ayles,3076,0,0,0,,,,0,,
Q7964234,Walter Baker,8303,0,0,0,,,,0,,
Q7964384,Walter Bromley-Davenport,8956,1,1,0,parent,parent,HoC,1,rush,William Bromley-Davenport
Q7964569,Walter Clegg,3516,0,0,0,,,,0,,
Q7964573,Walter Clough,1381,0,0,0,,,,0,,
Q7964582,Walter Coffin,3554,0,0,0,,,,0,,
Q7964632,Walter D'Arcy Hall,8299,0,0,0,,,,0,,
Q7964760,Walter Elliot,8928,0,0,0,,,,0,,
Q7964761,Walter Elliot,8931,0,0,0,,,,1,,
Q7964780,Walter Essex,3895,0,0,0,,,,0,,
Q7964820,Walter Farthing,3933,0,0,0,,,,0,,
Q7964845,Walter Fletcher,8927,0,0,0,,,,0,,
Q7964859,Walter Forrest,4019,0,0,0,,,,0,,
Q7964864,"Walter Foster, 1st Baron Ilkeston",1803,0,0,0,,,,1,,
